id,from_node,to_node,length
0,forks-12,forks-0,470
1,forks-0,consumers-0,240
2,forks-0,forks-1,390
3,forks-1,forks-2,60
4,forks-2,forks-3,200
5,forks-3,consumers-1,100
6,forks-1,forks-11,460
7,forks-11,forks-10,560
8,forks-10,forks-9,780
9,forks-9,forks-8,680
10,forks-8,consumers-4,240
11,forks-8,forks-7,570
12,forks-7,consumers-3,240
13,forks-7,forks-6,420
14,forks-6,producers-1,250
15,forks-6,forks-5,580
16,forks-5,forks-4,1030
17,forks-4,forks-12,1000
18,forks-7,consumers-2,330
19,forks-12,producers-0,190
20,forks-5,consumers-9,540
21,forks-4,consumers-8,610
22,forks-4,producers-4,1090
23,producers-4,forks-14,1160
24,forks-14,consumers-0,630
25,forks-14,forks-2,910
26,forks-10,consumers-7,360
27,forks-13,consumers-7,390
28,forks-13,producers-3,1060
29,producers-3,forks-9,290
30,forks-15,consumers-4,760
31,forks-15,consumers-6,610
32,forks-15,forks-16,880
33,forks-16,consumers-5,300
34,forks-16,producers-2,420
35,producers-2,forks-6,580
